Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Unnamed: 12,nutrition_risk
Smoothie (Fruit & Yogurt),Beverage/Meal,280,12,55,3,7,40,70,5,Breakfast,250,,Healthy
Tofu (4oz firm),Protein/Vegetarian,90,10,3,5,2,1,10,0,Lunch,0,,Healthy
Brown Rice (1 cup cooked),Grain,215,5,45,1.8,3.5,0.4,10,0,Lunch,0,,Healthy
Bell Pepper (1 medium red),Vegetable,31,1.2,6,0.3,2.1,4.2,4,0,Lunch,0,,Healthy
Hummus (2 tbsp),Legume,70,2,4,5,2,0,130,0,Snack,0,,Healthy
Pita Bread (1 whole wheat),Grain,170,6,35,1.5,5,2,320,0,Snack,0,,Healthy
Pork Chop (4oz grilled),Protein/Meat,220,30,0,10,0,0,70,85,Dinner,250,,Healthy
Mashed Potatoes (1 cup),Vegetable,230,4,35,8,3,2,350,15,Dinner,0,,Healthy
Corn (1 cup),Vegetable,132,4.7,30,1.8,3.6,8.9,2,0,Dinner,0,,Healthy
Soda (1 can Coke),Beverage,140,0,39,0,0,39,45,0,Snack,355,,Moderate
Pretzels (1 oz),Grain/Processed,110,3,23,1,1,1,450,0,Snack,0,,Moderate
Cheddar Cheese (1 oz),Dairy,115,7,1,9.5,0,0.5,180,30,Snack,0,,Healthy
Caesar Salad (with chicken),Meal/Protein,470,30,15,30,3,3,890,75,Lunch,250,,Unhealthy
Orange Juice (1 cup),Beverage,112,1.7,25.8,0.5,0.7,20.8,2,0,Breakfast,240,,Moderate
Bacon (2 slices cooked),Protein/Meat,86,6,0.2,6.8,0,0.1,330,18,Breakfast,0,,Healthy
Waffles (2 homemade),Grain,220,6,28,9,1.5,3,420,45,Breakfast,0,,Moderate
Pear,Fruit,101,0.6,27,0.2,5.5,16,2,0,Snack,0,,Healthy
Chicken Breast (4oz roasted),Protein/Meat,185,35,0,4,0,0,80,95,Lunch,500,,Healthy
Mixed Nuts (1/4 cup),Nut,200,6,8,18,3,2,1,0,Snack,0,,Moderate
Tilapia (4oz baked),Protein/Fish,110,22,0,2.5,0,0,50,50,Dinner,0,,Healthy
Asparagus (1 cup steamed),Vegetable,40,4.3,7.4,0.4,3.6,3.5,4,0,Dinner,0,,Healthy
Sweet Potato (1 medium baked),Vegetable,103,2.3,23.6,0.2,3.8,7.4,41,0,Dinner,0,,Healthy
Popcorn (3 cups air-popped),Grain,93,3,18.6,1.1,3.6,0.1,2,0,Snack,250,,Healthy
Raisins (1/4 cup),Fruit,130,1.3,34,0.2,1.6,25,5,0,Snack,0,,Moderate
Macaroni & Cheese (1 cup),Meal/Pasta,350,10,40,17,2,5,750,40,Lunch,250,,Moderate
Tomato Soup (1 can),Meal/Vegetable,170,4,25,6,4,15,900,10,Lunch,0,,Moderate
Grilled Cheese Sandwich,Meal/Processed,390,15,32,22,3,4,800,60,Lunch,0,,Unhealthy
Beef Tacos (2 hard shell),Meal/Meat,380,18,28,22,5,3,600,50,Dinner,500,,Moderate
Refried Beans (1/2 cup),Legume,115,7,19,1,6,1,480,0,Dinner,0,,Healthy
Guacamole (1/4 cup),Vegetable/Condiment,90,1,4,8,3,0.5,120,0,Dinner,0,,Healthy
Watermelon (1 cup diced),Fruit,46,0.9,11.5,0.2,0.6,9.4,2,0,Snack,0,,Healthy
English Muffin (whole wheat),Grain,134,6,26,1,4.4,1,210,0,Breakfast,250,,Healthy
Peanut Butter & Jelly Sandwich,Meal/Processed,390,12,50,17,5,20,450,0,Lunch,250,,Unhealthy
Clam Chowder (1 cup),Meal/Seafood,200,10,18,9,1,2,870,30,Lunch,0,,Moderate
Iced Tea (Sweetened 16oz),Beverage,180,0,46,0,0,46,15,0,Snack,500,,Moderate
Lasagna (1 serving meat),Meal/Pasta,350,20,30,17,4,7,850,55,Dinner,250,,Moderate
Garlic Bread (1 slice),Grain,150,4,18,7,1,1,310,0,Dinner,0,,Healthy
Chocolate Milk (1 cup),Beverage/Dairy,200,8,26,8,1,24,160,30,Snack,0,,Moderate
White Bread (1 slice),Grain,70,2,13,1,0.6,1.2,140,0,Breakfast,0,,Healthy
Jelly (1 tbsp grape),Condiment,50,0,13,0,0.1,12,5,0,Breakfast,0,,Healthy
Veggie Burger (1 patty),Protein/Vegetarian,120,11,10,4,5,1,350,0,Lunch,250,,Healthy
Bun (hamburger),Grain,140,4,26,2,1,4,260,0,Lunch,0,,Healthy
Ketchup (1 tbsp),Condiment,20,0.2,5,0.1,0.2,4,160,0,Lunch,0,,Healthy
Muffin (Blueberry 1 large),Grain/Dessert,380,5,55,16,2,30,350,50,Breakfast,250,,Unhealthy
Coffee (with cream/sugar),Beverage,50,0.5,5,3,0,4.5,10,10,Breakfast,250,,Healthy
Potato Chips (1 oz),Snack/Processed,160,2,15,10,1,0.5,170,0,Snack,0,,Healthy
Tzatziki Sauce (2 tbsp),Condiment/Dairy,30,1.5,2,2,0,1.5,100,5,Dinner,0,,Healthy
Pancakes (2 medium),Grain,180,5,30,5,1,6,450,25,Breakfast,0,,Moderate
Maple Syrup (2 tbsp),Condiment,104,0,27,0,0,24,2,0,Breakfast,0,,Moderate
Sausage Link (1 cooked),Protein/Meat,85,5,1,7,0,0.5,300,20,Breakfast,0,,Healthy
Smoothie (Fruit & Yogurt),Beverage/Meal,280,12,55,3,7,40,70,5,Breakfast,250,,Healthy
Tofu (4oz firm),Protein/Vegetarian,90,10,3,5,2,1,10,0,Lunch,0,,Healthy
Brown Rice (1 cup cooked),Grain,215,5,45,1.8,3.5,0.4,10,0,Lunch,0,,Healthy
Bell Pepper (1 medium red),Vegetable,31,1.2,6,0.3,2.1,4.2,4,0,Lunch,0,,Healthy
Hummus (2 tbsp),Legume,70,2,4,5,2,0,130,0,Snack,0,,Healthy
Pita Bread (1 whole wheat),Grain,170,6,35,1.5,5,2,320,0,Snack,0,,Healthy
Pork Chop (4oz grilled),Protein/Meat,220,30,0,10,0,0,70,85,Dinner,250,,Healthy
Mashed Potatoes (1 cup),Vegetable,230,4,35,8,3,2,350,15,Dinner,0,,Healthy
Corn (1 cup),Vegetable,132,4.7,30,1.8,3.6,8.9,2,0,Dinner,0,,Healthy
Soda (1 can Coke),Beverage,140,0,39,0,0,39,45,0,Snack,355,,Moderate
Pretzels (1 oz),Grain/Processed,110,3,23,1,1,1,450,0,Snack,0,,Moderate
Cheddar Cheese (1 oz),Dairy,115,7,1,9.5,0,0.5,180,30,Snack,0,,Healthy
Caesar Salad (with chicken),Meal/Protein,470,30,15,30,3,3,890,75,Lunch,250,,Unhealthy
Orange Juice (1 cup),Beverage,112,1.7,25.8,0.5,0.7,20.8,2,0,Breakfast,240,,Moderate
Bacon (2 slices cooked),Protein/Meat,86,6,0.2,6.8,0,0.1,330,18,Breakfast,0,,Healthy
Waffles (2 homemade),Grain,220,6,28,9,1.5,3,420,45,Breakfast,0,,Moderate
Pear,Fruit,101,0.6,27,0.2,5.5,16,2,0,Snack,0,,Healthy
Chicken Breast (4oz roasted),Protein/Meat,185,35,0,4,0,0,80,95,Lunch,500,,Healthy
Mixed Nuts (1/4 cup),Nut,200,6,8,18,3,2,1,0,Snack,0,,Moderate
Tilapia (4oz baked),Protein/Fish,110,22,0,2.5,0,0,50,50,Dinner,0,,Healthy
Asparagus (1 cup steamed),Vegetable,40,4.3,7.4,0.4,3.6,3.5,4,0,Dinner,0,,Healthy
Sweet Potato (1 medium baked),Vegetable,103,2.3,23.6,0.2,3.8,7.4,41,0,Dinner,0,,Healthy
Popcorn (3 cups air-popped),Grain,93,3,18.6,1.1,3.6,0.1,2,0,Snack,250,,Healthy
Raisins (1/4 cup),Fruit,130,1.3,34,0.2,1.6,25,5,0,Snack,0,,Moderate
Macaroni & Cheese (1 cup),Meal/Pasta,350,10,40,17,2,5,750,40,Lunch,250,,Moderate
Tomato Soup (1 can),Meal/Vegetable,170,4,25,6,4,15,900,10,Lunch,0,,Moderate
Grilled Cheese Sandwich,Meal/Processed,390,15,32,22,3,4,800,60,Lunch,0,,Unhealthy
Beef Tacos (2 hard shell),Meal/Meat,380,18,28,22,5,3,600,50,Dinner,500,,Moderate
Refried Beans (1/2 cup),Legume,115,7,19,1,6,1,480,0,Dinner,0,,Healthy
Guacamole (1/4 cup),Vegetable/Condiment,90,1,4,8,3,0.5,120,0,Dinner,0,,Healthy
Watermelon (1 cup diced),Fruit,46,0.9,11.5,0.2,0.6,9.4,2,0,Snack,0,,Healthy
English Muffin (whole wheat),Grain,134,6,26,1,4.4,1,210,0,Breakfast,250,,Healthy
Peanut Butter & Jelly Sandwich,Meal/Processed,390,12,50,17,5,20,450,0,Lunch,250,,Unhealthy
Clam Chowder (1 cup),Meal/Seafood,200,10,18,9,1,2,870,30,Lunch,0,,Moderate
Iced Tea (Sweetened 16oz),Beverage,180,0,46,0,0,46,15,0,Snack,500,,Moderate
Lasagna (1 serving meat),Meal/Pasta,350,20,30,17,4,7,850,55,Dinner,250,,Moderate
Garlic Bread (1 slice),Grain,150,4,18,7,1,1,310,0,Dinner,0,,Healthy
Chocolate Milk (1 cup),Beverage/Dairy,200,8,26,8,1,24,160,30,Snack,0,,Moderate
White Bread (1 slice),Grain,70,2,13,1,0.6,1.2,140,0,Breakfast,0,,Healthy
Jelly (1 tbsp grape),Condiment,50,0,13,0,0.1,12,5,0,Breakfast,0,,Healthy
Veggie Burger (1 patty),Protein/Vegetarian,120,11,10,4,5,1,350,0,Lunch,250,,Healthy
Bun (hamburger),Grain,140,4,26,2,1,4,260,0,Lunch,0,,Healthy
Ketchup (1 tbsp),Condiment,20,0.2,5,0.1,0.2,4,160,0,Lunch,0,,Healthy
Muffin (Blueberry 1 large),Grain/Dessert,380,5,55,16,2,30,350,50,Breakfast,250,,Unhealthy
Coffee (with cream/sugar),Beverage,50,0.5,5,3,0,4.5,10,10,Breakfast,250,,Healthy
Potato Chips (1 oz),Snack/Processed,160,2,15,10,1,0.5,170,0,Snack,0,,Healthy
Tzatziki Sauce (2 tbsp),Condiment/Dairy,30,1.5,2,2,0,1.5,100,5,Dinner,0,,Healthy
Scallops (3oz seared),Protein/Seafood,95,17,5,1,0,0,180,35,Dinner,0,,Healthy
Risotto (Mushroom 1 cup),Meal/Grain,250,7,35,9,3,3,600,20,Dinner,0,,Moderate
Caprese Salad,Meal/Vegetable,240,10,8,18,2,5,350,40,Lunch,250,,Moderate
Balsamic Vinaigrette (2 tbsp),Condiment,90,0,3,9,0,2.5,300,0,Lunch,0,,Healthy
Cherries (1 cup),Fruit,77,1.6,19,0.5,2.5,15,0,0,Snack,0,,Moderate
Turkey Bacon (2 slices),Protein/Meat,70,6,1,5,0,0.5,360,30,Breakfast,0,,Healthy
Grits (1 cup cooked),Grain,150,3,32,1,2,0.5,320,0,Breakfast,0,,Healthy
Butter (1 tbsp),Condiment/Dairy,100,0.1,0,11,0,0,82,30,Breakfast,0,,Healthy
Meatball Sub (6 inch),Meal/Processed,580,28,55,27,6,10,1200,70,Lunch,500,,Moderate
Kiwifruit (1 medium),Fruit,46,0.9,11.1,0.4,2.3,6.7,2,0,Snack,0,,Healthy
Beef Jerky (1 oz),Snack/Processed,116,9.4,3.1,7.2,0.5,2.5,590,30,Snack,0,,Moderate
Figs (2 medium),Fruit,74,0.6,19.2,0.3,2.9,16.2,2,0,Snack,0,,Moderate
Lobster (3oz steamed),Protein/Seafood,76,16,0,0.7,0,0,250,125,Dinner,250,,Healthy
Melted Butter (for lobster),Condiment,200,0.2,0,22,0,0,164,60,Dinner,0,,Moderate
Corn on the Cob (1 large),Vegetable,125,5,29,1.5,3,5,2,0,Dinner,0,,Healthy
Vegetable Soup (1 can),Meal/Vegetable,140,4,22,4,6,8,780,5,Lunch,250,,Healthy
Saltine Crackers (5 crackers),Grain/Processed,60,1,10,1.5,0.5,0,140,0,Lunch,0,,Healthy
Mango (1 cup slices),Fruit,99,1.4,24.7,0.6,2.6,22.5,2,0,Snack,0,,Moderate
Cheesecake (1 slice),Dessert,320,5,28,21,1,20,280,65,Snack,250,,Moderate
Pad Thai (Chicken 1.5 cups),Meal/Pasta,550,25,60,22,5,10,950,70,Dinner,500,,Moderate
Spring Roll (Veg 2 rolls),Snack/Processed,180,4,25,7,3,3,450,0,Dinner,0,,Moderate
Coconut Water (1 cup),Beverage,46,1.7,8.9,0.5,2.6,6.3,252,0,Snack,240,,Healthy
Kimchi (1/2 cup),Vegetable,22,1.7,4,0.4,2.4,1.5,750,0,Side,0,,Moderate
Sashimi (Salmon 3 pcs),Protein/Fish,120,18,0,5,0,0,45,40,Lunch,0,,Healthy
Wasabi (1 tsp),Condiment,10,0.1,2.2,0.1,0.3,1,40,0,Lunch,0,,Healthy
Seaweed Salad (1/2 cup),Vegetable,60,2,8,3,2,4,350,0,Lunch,0,,Healthy
French Onion Soup (1 cup),Meal,150,6,15,7,2,5,800,20,Lunch,250,,Moderate
Croutons (1/4 cup),Grain,50,1.5,7,2,0.5,0.5,140,0,Lunch,0,,Healthy
Shepherd's Pie (1 serving),Meal/Meat,400,20,35,20,6,7,850,55,Dinner,250,,Moderate
Green Peas (1/2 cup),Legume,62,4.1,11.1,0.2,4.4,4.2,2,0,Dinner,0,,Healthy
Apple Pie (1 slice),Dessert,410,3,58,19,3,25,320,0,Snack,0,,Unhealthy
Gin & Tonic (1 drink),Beverage,170,0,13,0,0,13,2,0,Snack,180,,Moderate
Red Wine (5 oz glass),Beverage,125,0.1,3.8,0,0,0.9,6,0,Dinner,0,,Healthy
Halibut (4oz baked),Protein/Fish,125,24,0,2.5,0,0,60,40,Dinner,250,,Healthy
Quinoa Salad (1 cup),Meal/Vegetarian,260,9,32,12,6,4,300,0,Lunch,250,,Healthy
Lemonade (1 cup),Beverage,99,0.1,26,0,0.1,25,30,0,Snack,240,,Moderate
Pistachios (1 oz shelled),Nut,159,5.7,7.7,12.8,3,2.2,2,0,Snack,0,,Healthy
Oat Milk (1 cup),Beverage/Dairy-Alt,120,3,16,5,2,7,100,0,Breakfast,0,,Healthy
Biscuits and Gravy (1 serving),Meal/Processed,480,10,45,28,2,3,1100,35,Breakfast,250,,Unhealthy
Avocado (1/2 fruit),Fruit,160,2,8.5,14.7,6.7,0.7,7,0,Breakfast,0,,Healthy
Corn Flakes (1 cup),Grain,100,2,24,0,1,3,200,0,Breakfast,0,,Healthy
T-Bone Steak (6oz),Protein/Meat,460,38,0,33,0,0,110,105,Dinner,0,,Moderate
Creamed Spinach (1/2 cup),Vegetable,190,5,8,16,3,2,450,50,Dinner,0,,Moderate
Pecans (1 oz),Nut,196,2.6,3.9,20.4,2.7,1.1,0,0,Snack,0,,Moderate
Fruit Cocktail (canned 1 cup),Fruit,110,1,28,0,2,26,10,0,Snack,0,,Moderate
Ramen (Instant 1 pack),Meal/Processed,380,9,53,14,2,2,1580,0,Lunch,500,,Moderate
Mocha Latte (16oz),Beverage,360,12,48,15,2,42,150,45,Snack,473,,Moderate
Cucumber Slices (1 cup),Vegetable,16,0.7,3.6,0.1,0.5,1.7,2,0,Snack,0,,Healthy
Feta Cheese (1 oz),Dairy,75,4,1.2,6.1,0,0.7,316,25,Lunch,0,,Healthy
Olives (Kalamata 5 large),Fruit,35,0.2,1,3.5,0.5,0,210,0,Lunch,0,,Healthy
Chicken Alfredo (1.5 cups),Meal/Pasta,680,35,45,38,4,5,980,120,Dinner,250,,Moderate
Breadstick (1 large),Grain,160,4,28,3,1,2,350,0,Dinner,0,,Healthy
Cobb Salad,Meal/Protein,510,30,12,38,7,6,800,210,Lunch,500,,Moderate
Blue Cheese Dressing (2 tbsp),Condiment,150,1,2,16,0,1,320,10,Lunch,0,,Moderate
Mandarin Orange (1 medium),Fruit,37,0.6,9.3,0.2,1.3,7.3,1,0,Snack,0,,Healthy
Cashews (1 oz roasted),Nut,163,4.3,9.2,13.1,0.9,1.4,140,0,Snack,0,,Healthy
Eggo Waffle (2 waffles),Grain/Processed,180,4,30,5,1,4,400,0,Breakfast,0,,Healthy
Diet Soda (1 can),Beverage,0,0,0,0,0,0,40,0,Lunch,355,,Healthy
Pulled Pork Sandwich,Meal/Meat,480,25,48,20,3,15,900,75,Lunch,250,,Unhealthy
Macadamia Nuts (1 oz),Nut,204,2.2,3.9,21.5,2.4,1.3,1,0,Snack,0,,Moderate
Crab Cakes (2 medium),Meal/Seafood,340,20,18,20,1,2,700,120,Dinner,250,,Moderate
Tartar Sauce (2 tbsp),Condiment,60,0.2,2,5.5,0.1,1.5,180,5,Dinner,0,,Healthy
Lemon Bar (1 square),Dessert,150,1.5,22,6,0.5,15,80,30,Snack,0,,Moderate
Almond Milk (Unsweetened 1 cup),Beverage/Dairy-Alt,30,1,1,2.5,1,0,160,0,Breakfast,240,,Healthy
Rice Krispies (1.5 cups),Grain,160,3,37,0.5,0.5,4,290,0,Breakfast,0,,Healthy
Sugar (1 tsp for cereal),Condiment,16,0,4,0,0,4,0,0,Breakfast,0,,Healthy
Tuna (Canned 3oz in water),Protein/Fish,90,20,0,1,0,0,250,35,Lunch,0,,Healthy
Mayonnaise (1 tbsp),Condiment,90,0.1,0.1,10,0,0.1,70,5,Lunch,0,,Healthy
Pickle (1 spear dill),Vegetable,5,0.2,1,0.1,0.3,0.5,300,0,Lunch,0,,Healthy
Lobster Bisque (1 cup),Meal/Seafood,250,8,12,18,1,3,850,50,Lunch,250,,Moderate
Reuben Sandwich,Meal/Processed,650,28,35,40,5,6,1500,100,Lunch,500,,Moderate
Sauerkraut (1/4 cup side),Vegetable,7,0.3,1.5,0,1,0.6,234,0,Lunch,0,,Healthy
Mushroom (White 1 cup sliced),Vegetable,15,2.2,2.3,0.2,0.7,1.4,4,0,Dinner,0,,Healthy
Soy Milk (Original 1 cup),Beverage/Dairy-Alt,110,8,9,4.5,2,6,125,0,Breakfast,240,,Healthy
Chicken Tikka Masala (1.5 cups),Meal/Meat,480,30,20,30,5,8,900,95,Dinner,250,,Moderate
Naan Bread (1 piece),Grain,260,8,45,5,2,3,450,10,Dinner,0,,Moderate
Cucumber Salad (1/2 cup),Vegetable,40,1,5,2,1,4,200,0,Dinner,0,,Healthy
Vodka Soda (1 drink),Beverage,100,0,0,0,0,0,5,0,Snack,180,,Healthy
Chocolate Croissant,Dessert,350,6,40,19,3,15,300,40,Breakfast,250,,Moderate
Sweet & Sour Chicken (1 cup),Meal/Processed,380,18,45,15,3,25,750,50,Dinner,0,,Unhealthy
Egg Drop Soup (1 cup),Meal/Vegetable,65,5,6,2,0.5,1,780,50,Dinner,0,,Moderate
String Cheese (1 stick),Dairy,80,6,1,6,0,0,210,20,Snack,0,,Healthy
Turkey Burger (1 patty),Protein/Meat,160,22,2,8,0,1,400,70,Lunch,250,,Healthy
Mustard (1 tbsp, yellow),110,10,0.5,1,0.5,0.5,0,160,0,Lunch,0,Healthy
Potato Salad (1/2 cup),Meal/Vegetable,180,2,19,11,2,3,500,10,Lunch,0,,Moderate
Cranberry Juice (1 cup),Beverage,130,0,33,0,0,30,10,0,Breakfast,240,,Moderate
Spinach (1 cup, raw),110,7,0.9,1.1,0.1,0.7,0.1,24,0,Lunch,0,Healthy
Chicken Piccata (1 serving),Meal/Meat,350,30,10,20,1,2,600,90,Dinner,250,,Moderate
Angel Hair Pasta (1 cup),Grain,200,7,42,1,2,1,1,0,Dinner,0,,Healthy
Olive Oil (1 tbsp),Condiment,120,0,0,14,0,0,0,0,Dinner,0,,Healthy
Garlic (1 clove),Vegetable,4,0.2,0.9,0,0.1,0,1,0,Dinner,0,,Healthy
Salami (3 slices),Protein/Processed,110,6,1,9,0,0.5,500,30,Snack,0,,Moderate
Provolone Cheese (1 slice),Dairy,100,7,1,8,0,0.5,250,20,Snack,0,,Healthy
Ginger Ale (1 can),Beverage,124,0,32,0,0,31,40,0,Snack,355,,Moderate
Shrimp Scampi (1 cup),Meal/Seafood,380,22,40,15,3,3,750,140,Dinner,0,,Moderate
Tiramisu (1 slice),Dessert,450,7,42,28,2,25,150,180,Snack,250,,Unhealthy
Cereal Bar (Fruit),Snack/Processed,140,2,30,3,1,15,110,0,Breakfast,250,,Moderate
Veal Parmesan (1 serving),Meal/Meat,550,40,30,30,4,7,1100,130,Dinner,250,,Moderate
Spaghetti (side),Grain,100,3.5,21,0.5,1,0.5,0,0,Dinner,0,,Healthy
Hot Chocolate (1 cup),Beverage,200,3,30,8,2,25,160,10,Snack,240,,Moderate
Coconut Shrimp (5 pcs),Meal/Seafood,320,10,25,20,3,8,600,80,Dinner,0,,Moderate
Sweet Chili Sauce (2 tbsp),Condiment,70,0,17,0,0.5,16,450,0,Dinner,0,,Moderate
White Wine (5 oz glass),Beverage,121,0.1,3.8,0,0,1.4,5,0,Dinner,0,,Healthy
Trail Mix (1/4 cup),Snack/Processed,190,5,20,12,3,14,50,0,Snack,250,,Moderate
Onion Rings (6 rings),Snack/Processed,280,4,30,16,3,4,500,0,Snack,0,,Moderate
Poached Egg (1 large),Protein,72,6.3,0.4,4.8,0,0.4,140,185,Breakfast,0,,Healthy
Canadian Bacon (2 slices),Protein/Meat,80,12,1,3,0,1,650,40,Breakfast,0,,Moderate
Eggs Benedict (1 serving),Meal/Protein,600,25,30,40,3,4,1100,450,Breakfast,250,,Unhealthy
Hollandaise Sauce (2 tbsp),Condiment,110,1,0.5,12,0,0.2,150,50,Breakfast,0,,Healthy
Spinach Artichoke Dip (1/4 cup),Snack/Processed,160,5,6,14,2,2,350,30,Snack,0,,Healthy
Tortilla Chips (1 oz),Snack/Processed,140,2,19,7,2,0.5,120,0,Snack,0,,Healthy
Chicken Kebab (2 skewers),Meal/Meat,280,30,8,14,3,4,500,85,Dinner,250,,Moderate
Bell Peppers & Onions (sautéed),Vegetable,60,1.5,10,2,3,6,30,0,Dinner,0,,Healthy
Hummus Wrap (large),Meal/Vegetarian,450,15,60,18,12,5,800,0,Lunch,500,,Moderate
Kombucha (1 cup),Beverage,30,0,7,0,0,6,10,0,Snack,240,,Healthy
Beef Stroganoff (1.5 cups),Meal/Pasta,550,30,40,28,4,6,900,100,Dinner,0,,Moderate
Egg Noodles (1 cup cooked),Grain,220,8,40,3,2,2,20,50,Dinner,0,,Healthy
